Member ID,Confirmed?,Sex,Age,Member Created (M/D/YYYY),Start of first full membership (M/D/YYYY),Current Membership Type,"Latest Membership Change (request, upgrade, renewal, cancellation...) (M/D/YYYY)",Current Membership Expiration (M/D/YYYY),Renews Automatically,Automatically Pay Statements,Opening Balance,Opening Balance Date (M/D/YYYY),Household Type,"Single, non-elderly",Elderly,Single Parent,Two Parents,Female Head of Household,Household income range,Household income range Value,Ethnicity,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other,Number of disabled people in household,Renter/Homeowner,Renter/Homeowner Value,Household Size
635,True,male,,4/30/2017,4/30/2017,regular,7/2/2022,7/2/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3167,True,,,5/27/2021,5/29/2021,regular,5/29/2021,5/29/2022,False,False,,,,,,,,,,,,,,,,,,,,,,
1659,True,,,8/23/2018,11/7/2018,regular,3/8/2020,3/8/2021,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1164,False,male,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
2284,False,,,7/4/2019,7/3/2019,regular,2/27/2021,2/27/2022,False,False,,,,,,,,,,,,,,,,,,,,,,
428,True,,,12/8/2016,,Request_CheckIDAddressPhoneDOB,12/7/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,
1320,True,male,,4/7/2018,4/7/2018,regular,4/7/2018,4/7/2019,False,False,,,,,,,,,,,,,,,,,,,,,,
358,False,,,10/16/2016,10/16/2016,regular,10/16/2016,10/16/2017,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1799,False,male,,11/5/2018,11/4/2018,regular,11/4/2018,11/4/2019,False,False,,,,,,,,,,,,,,,,,,,,,,
2963,True,,,9/20/2020,10/3/2020,regular,10/3/2020,10/3/2021,False,False,,,,,,,,,,,,,,,,,,,,,,
3487,True,,,1/8/2022,,Request_CheckIDAddressPhoneDOB,1/8/2022,,False,False,,,,,,,,,,,,,,,,,,,,,,
1173,True,,,1/18/2018,1/17/2018,regular,1/17/2018,1/17/2019,False,False,,,,,,,,,,,,,,,,,,,,,,
589,False,male,,4/9/2017,4/9/2017,regular,4/9/2017,4/9/2018,False,False,,,['4'],,,,Y,,3.0,Moderate,['2'],,Y,,,,,,0.0,1.0,Homeowner,3.0
3747,True,,35.0,6/5/2022,7/16/2022,regular,7/16/2022,7/16/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
1024,True,,,10/21/2017,,Request_CheckIDAddressPhoneDOB,10/21/2017,,False,False,,,,,,,,,,,,,,,,,,,,,,
3271,True,,,8/14/2021,10/30/2021,regular,10/30/2021,10/30/2022,False,False,,,,,,,,,,,,,,,,,,,,,,
1878,True,male,,1/2/2019,1/2/2019,regular,1/3/2021,1/5/2022,False,False,,,[],,,,,,4.0,High,['5'],,,,,Y,,,,0.0,Renter,2.0
1120,True,male,,12/18/2017,12/17/2017,ExtremelyOverdueItems,3/3/2019,,False,False,,,['1'],Y,,,,,1.0,Extremely Low,['5'],,,,,Y,,,1.0,0.0,Renter,1.0
2686,False,male,,1/4/2020,1/4/2020,regular,1/4/2020,1/4/2021,False,False,,,[],,,,,,3.0,Moderate,['5'],,,,,Y,,,0.0,0.0,Renter,2.0
894,False,male,,8/21/2017,8/20/2017,regular,12/1/2021,12/1/2022,False,False,,,,,,,,,,,,,,,,,,,,,,
2086,False,female,,4/21/2019,4/21/2019,regular,4/21/2019,4/21/2020,False,False,,,[],,,,,,,,[],,,,,,,,,,,
83,True,,,1/2/2016,1/2/2016,regular,1/2/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,
1165,False,,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
1091,True,female,,12/4/2017,12/3/2017,regular,2/22/2020,2/22/2021,False,False,,,['1'],Y,,,,,1.0,Extremely Low,['5'],,,,,Y,,,1.0,2.0,Not Specified,1.0
3156,False,,,5/19/2021,5/18/2021,regular,5/18/2021,5/18/2022,False,False,,,,,,,,,,,,,,,,,,,,,,
3019,False,,,11/7/2020,11/7/2020,regular,11/7/2020,11/7/2021,False,False,,,,,,,,,,,,,,,,,,,,,,
3870,True,,,7/20/2022,7/19/2022,regular,7/19/2022,7/19/2023,False,False,,,[],,,,,,,,[],,,,,,,,,0.0,Renter,
315,True,male,,9/12/2016,,Request_CheckIDAddressPhoneDOB,9/11/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,
957,True,,,9/13/2017,9/13/2017,regular,9/13/2017,9/13/2018,False,False,,,,,,,,,,,,,,,,,,,,,,
2807,False,,,3/2/2020,,Request_CheckIDAddressPhoneDOB,3/1/2020,,False,False,,,,,,,,,,,,,,,,,,,,,,
3746,True,,65.0,6/5/2022,6/5/2022,regular,6/5/2022,6/5/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
1109,True,,,12/12/2017,4/25/2018,regular,3/30/2020,4/25/2021,False,False,,,,,,,,,,,,,,,,,,,,,,
124,False,,,4/30/2016,7/3/2016,regular,7/3/2016,7/3/2018,False,False,,,[],,,,,,,,[],,,,,,,,,,,
2651,True,,,12/9/2019,12/8/2019,regular,12/8/2019,12/8/2020,False,False,,,,,,,,,,,,,,,,,,,,,,
3607,True,,,3/16/2022,3/15/2022,regular,3/15/2022,3/15/2023,False,False,,,['1'],Y,,,,,3.0,Moderate,['5'],,,,,Y,,,,0.0,Renter,1.0
3267,True,,,8/11/2021,8/10/2021,regular,8/10/2021,8/11/2022,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1159,False,female,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
540,False,female,,3/10/2017,6/14/2017,regular,9/21/2021,9/21/2022,False,False,,,[],,,,,,,,[],,,,,,,,,,,
3786,False,,,6/19/2022,6/19/2022,regular,6/19/2022,6/19/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
3520,False,,,1/22/2022,1/22/2022,regular,1/22/2022,1/22/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1060,True,,,11/13/2017,11/12/2017,regular,11/12/2017,11/12/2018,False,False,,,,,,,,,,,,,,,,,,,,,,
44,True,male,,7/14/2015,7/14/2015,regular,9/6/2020,9/6/2021,False,False,,,,,,,,,,,,,,,,,,,,,,
3587,True,,,3/3/2022,3/2/2022,regular,3/2/2022,3/2/2023,False,False,,,['1'],Y,,,,,2.0,Low,[],,,,,,,,,,,
104,False,,,4/23/2016,,Request_CheckIDAddressPhoneDOB,4/23/2016,,False,False,,,,,,,,,,,,,,,,,,,,,,
1334,True,,,4/14/2018,4/14/2018,regular,4/14/2018,4/14/2019,False,False,,,[],,,,,,,,[],,,,,,,,,,,
619,True,male,,4/24/2017,4/23/2017,regular,4/23/2017,4/23/2018,False,False,,,[],,,,,,,,[],,,,,,,,,,,
558,False,,,3/21/2017,4/5/2017,regular,5/15/2022,5/15/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
2191,True,male,,5/30/2019,6/2/2019,regular,6/10/2022,6/2/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
2656,False,male,,12/14/2019,12/14/2019,regular,1/30/2021,1/30/2022,False,False,,,['4'],,,,Y,,3.0,Moderate,['2'],,Y,,,,,,0.0,1.0,Homeowner,2.0
1163,False,,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
586,False,female,,4/8/2017,4/8/2017,regular,7/10/2021,7/10/2022,False,False,,,['1'],Y,,,,,2.0,Low,"['2', '5']",,Y,,,Y,,,0.0,0.0,Renter,2.0
65,True,,,10/25/2015,10/25/2015,regular,6/22/2022,6/22/2099,False,False,,,[],,,,,,,,[],,,,,,,,,,,
933,False,,,9/7/2017,9/6/2017,regular,9/6/2017,9/6/2018,False,False,,,,,,,,,,,,,,,,,,,,,,
1162,False,female,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
3649,True,,,4/13/2022,4/12/2022,regular,4/12/2022,4/12/2023,False,False,,,[],,,,,,,,[],,,,,,,,,,,
441,True,male,,12/15/2016,12/14/2016,regular,8/10/2021,7/25/2022,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1161,False,,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
3845,True,,,7/13/2022,7/12/2022,regular,7/12/2022,7/12/2023,False,False,,,,,,,,,,,,,,,,,,,,,,
564,False,male,,3/25/2017,3/25/2017,regular,3/25/2017,3/25/2018,False,False,,,,,,,,,,,,,,,,,,,,,,
840,True,,,8/2/2017,8/1/2017,regular,8/1/2017,8/1/2018,False,False,,,[],,,,,,,,[],,,,,,,,,,,
1160,False,,,1/15/2018,,Request_CheckIDAddressPhoneDOB,1/15/2018,,False,False,,,,,,,,,,,,,,,,,,,,,,
